FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,23118,@Mem,37,29.62,4.95,8.16,1.54,0.86,2.97,48.800,88.600,43.59
DeMarcus,Cousins,Sac,C,21163,@Ind,34,23.32,3.09,11.53,1.85,1.06,3.41,49.400,71.800,39.19
Carmelo,Anthony,NY,F,18987,@Cha,34,26.18,3.06,8.85,1.18,0.71,2.29,44.700,84.400,36.96
Pau,Gasol,LAL,C,17894,Cle,34,15.62,3.38,9.65,0.29,1.44,2.44,44.800,74.600,29.37
Rudy,Gay,Sac,F,16413,@Ind,33,19.94,2.48,6.52,1.42,1.12,3.18,44.100,80.700,28.54
Kyrie,Irving,Cle,G,16162,@LAL,34,21.68,6.15,3.03,1.24,0.41,2.82,42.900,82.700,29.43
Zach,Randolph,Mem,F,16026,OKC,34,17.18,2.68,10.5,0.5,0.15,2.44,45.200,76.100,28.49
Paul,George,Ind,F,15935,Sac,36,22.61,3.61,6.33,1.92,0.25,2.58,45.100,86.00,32.60
Marc,Gasol,Mem,C,15788,OKC,13,16,4.31,7.08,0.92,1.08,1.69,45.800,88.500,29.85
Mike,Conley,Mem,G,15660,OKC,34,18.09,6.5,2.44,1.59,0.24,2.03,45.800,83.600,28.17
Isaiah,Thomas,Sac,G,15597,@Ind,35,19.31,6.26,2.89,1.4,0.03,2.63,45.300,86.000,28.31
Kemba,Walker,Cha,G,14865,NY,38,18.63,4.76,4.26,1.45,0.45,2.58,41.900,80.0,27.20
Al,Jefferson,Cha,C,14832,NY,29,16.76,1.86,10,0.86,1.24,1.14,45.200,66.300,30.16
Anderson,Varejao,Cle,C,14306,@LAL,37,8.30,2.19,9.76,1,0.86,1.03,48.300,70.700,24.34
Serge,Ibaka,OKC,F,13748,@Mem,36,14,0.97,8.97,0.42,2.31,1.53,51.400,77.200,27.49
Luol,Deng,Cle,F,12993,@LAL,25,18.4,3.48,6.56,1.04,0.16,2.64,45.300,81.200,27.02
Kendall,Marshall,LAL,G,12878,Cle,9,9.89,7.33,3.11,0.33,0,2.89,48.600,85.700,20.50
David,West,Ind,F,12722,Sac,36,12.42,3.11,6.89,0.94,0.97,1.83,46.900,77.400,24.46
