FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
LeBron,James,Mia,F,22020,Atl,7,22.71,8,9.71,2.14,0.14,3.86,64.900,75.00,44.43
Dwight,Howard,Hou,C,20450,Dal,7,22.86,2,14.29,1.14,2.71,3.57,65.300,60.300,43.86
Stephen,Curry,GS,G,20338,@Den,8,28,10.75,4.5,2,0.38,4.25,45.700,88.00,44.31
Anthony,Davis,NO,F,20145,@Sac,2,22.5,0.5,10.5,1.5,1,2,58.100,60.0,34.62
DeMarcus,Cousins,Sac,C,19688,NO,9,24,4.11,11.78,2,0.78,4.44,53.600,76.400,41.28
Carmelo,Anthony,NY,F,19534,@Orl,8,28.75,2.88,6.75,0.88,1.12,1.75,46.500,88.100,37.56
Al,Horford,Atl,C,17932,@Mia,6,20.83,2.83,9.33,0.5,1,2.33,61.300,66.700,34.00
Paul,George,Ind,F,17482,@Bkn,7,21.86,4.14,6,1.86,0.14,2.57,43.00,89.100,32.50
Tim,Duncan,SA,F,17433,Tor,8,16.25,3.38,11.12,0.75,1.5,2.38,50.0,81.100,33.78
James,Harden,Hou,G,16894,Dal,6,22.33,6.17,4.33,1.33,0,4,41.200,82.200,30.00
Eric,Bledsoe,Pho,G,16360,LAL,6,20,6.83,4.67,1.83,0.33,3.17,50.600,79.300,33.17
David,Lee,GS,F,16300,@Den,8,20.62,1.12,12.62,1.12,0.5,1.88,49.600,80.600,34.72
Dwyane,Wade,Mia,G,16270,Atl,6,23.17,3.5,5,1.83,0.33,2.33,56.100,79.400,32.50
Pau,Gasol,LAL,C,16142,@Pho,7,16.14,3.29,8.43,0.29,1.43,3.14,54.700,72.00,28.61
Dirk,Nowitzki,Dal,F,15966,@Hou,6,22,4.5,6.67,0.83,1.17,1.5,50.0,88.900,35.00
Andre,Drummond,Det,C,15948,@Cle,10,12.6,0.3,12,0.8,2.3,1.8,57.00,40.0,29.40
Al,Jefferson,Cha,C,15829,Mil,8,16.62,1.75,10.38,1,1.25,0.5,43.400,60.0,30.78
Kyrie,Irving,Cle,G,15595,Det,7,26.43,6.57,2.14,1.14,0.71,2.71,46.100,92.900,34.32
Paul,Millsap,Atl,F,15576,@Mia,6,17.17,2.83,9.67,1.83,0.83,2.83,41.600,79.500,31.58
John,Henson,Mil,F,15527,@Cha,7,16.86,2.14,10.57,1.14,2.29,2.43,54.400,62.500,33.93
Larry,Sanders,Mil,C,15525,@Cha,0,0,0,0,0,0,0,0,0,0.00
Zach,Randolph,Mem,F,15344,Uta,8,17.62,3,11,0.75,0.12,2.5,40.300,71.200,29.38
Isaiah,Thomas,Sac,G,15251,NO,9,21.44,7.44,2.78,1.67,0,3,48.200,88.900,32.14
Nikola,Vucevic,Orl,C,15224,NY,6,9.83,1.17,12.83,1.33,1.17,2,40.300,90.0,27.46
Deron,Williams,Bkn,G,15157,Ind,6,17.83,10,3.33,0.67,0.17,3.33,50.700,73.500,31.67
DeMar,DeRozan,Tor,G,14915,@SA,6,22,5.33,5,1.33,1,2.67,42.000,83.300,32.25
Kemba,Walker,Cha,G,14773,Mil,8,23.12,4.25,4.38,1.5,0.88,3.5,52.800,85.700,32.09
Josh,Smith,Det,F,14764,@Cle,10,17.6,3.1,5.9,1.4,1.2,1.9,42.700,63.900,27.38
Monta,Ellis,Dal,G,14733,@Hou,7,18.14,6.14,3,2.29,0,2.86,46.400,81.500,28.25
Andrew,Bogut,GS,C,14701,@Den,8,8.62,1.25,14.38,0.88,2,2.12,66.00,37.500,30.72
Brandon,Jennings,Det,G,14678,@Cle,10,20,7.3,3.6,1.5,0.1,2.8,41.200,75.500,30.25
Jrue,Holiday,NO,G,14609,@Sac,6,14.67,8.33,3.5,1.33,0.33,2.33,48.00,83.300,29.12
Lance,Stephenson,Ind,G,14597,@Bkn,7,15.29,4.71,6.43,0.57,0,2,51.800,84.600,26.46
Ty,Lawson,Den,G,14546,GS,5,11,7.6,2.8,1.6,0.2,2.6,37.800,85.700,23.80
Arron,Afflalo,Orl,G,14538,NY,7,20,3.14,5.14,0.29,0,1.71,41.900,88.600,24.86
Amir,Johnson,Tor,F,14269,@SA,6,17.83,1.5,9.33,1.33,1.33,1.33,70.100,73.300,33.75
Chris,Bosh,Mia,C,14202,Atl,7,16.86,1.43,7.86,1.14,0.86,1.29,55.700,82.600,28.46
Goran,Dragic,Pho,G,13920,LAL,6,21.5,4.5,3,1.5,0,2.33,48.300,82.500,28.25
Gordon,Hayward,Uta,F,13861,@Mem,9,16.56,3.56,5.78,0.89,0.78,1.78,40.600,86.000,26.11
Greg,Monroe,Det,F,13796,@Cle,10,14.3,1.8,8.9,0.9,0.6,2.6,50.400,55.300,24.68
Chandler,Parsons,Hou,F,13778,Dal,7,18.14,3.14,5.14,1.14,0.57,1.86,54.200,54.500,27.00
Tyson,Chandler,NY,C,13775,@Orl,2,8.5,1.5,7.5,1,2,0.5,45.500,58.300,22.88
Mike,Conley,Mem,G,13763,Uta,6,16.67,6,2,0.33,0.33,2.17,40.0,73.700,22.17
Kyle,Lowry,Tor,G,13662,@SA,6,15.5,7.33,4.5,1.67,0.17,2.83,44.700,100,29.46
Brandon,Knight,Mil,G,13652,@Cha,8,17.25,3.5,6,0.75,0.25,2.62,39.200,93.100,24.50
Rudy,Gay,Sac,F,13594,NO,6,18.83,2.83,3.67,1.83,1,3.33,50.0,78.100,25.92
JaVale,McGee,Den,C,13550,GS,0,0,0,0,0,0,0,0,0,0.00
Tony,Parker,SA,G,13466,Tor,7,16.86,5.71,2.57,0.57,0,1.43,46.100,86.400,24.21
Derrick,Favors,Uta,F,13450,@Mem,7,13.29,1.14,7.86,0.57,2.29,1.57,51.300,78.900,26.04
Ryan,Anderson,NO,F,13436,@Sac,6,20.33,1.17,6.17,0.67,0.33,0.83,38.400,100,25.21
Jeff,Teague,Atl,G,13154,@Mia,6,12.83,8.67,3.5,1,0.17,3.5,38.800,87.500,25.38
Roy,Hibbert,Ind,C,12981,@Bkn,7,12.43,1.29,6.71,0.43,1.29,1,47.100,82.100,22.25
Jameer,Nelson,Orl,G,12977,NY,8,15.62,5.25,3.75,1.25,0.25,2.62,43.100,77.800,24.69
Joe,Johnson,Bkn,G,12935,Ind,6,18.67,3.17,4.5,0.83,0.33,1.33,50.0,71.400,26.29
Paul,Pierce,Bkn,F,12560,Ind,6,15.17,3.5,6.5,1,0.17,3,57.400,85.200,25.88
J.J.,Hickson,Den,C,12530,GS,7,13,1.71,10,0.71,0.71,1.71,51.400,54.800,25.71
Miles,Plumlee,Pho,C,12502,LAL,6,8.33,0.67,9.67,1.17,1.33,1.17,54.800,50.0,23.33
Kawhi,Leonard,SA,F,12428,Tor,8,14.75,2.5,6,1.38,0.12,1.12,53.400,73.700,25.00
Andray,Blatche,Bkn,C,12390,Ind,7,14.43,1.86,6.71,0.86,0.57,1.29,46.200,80.600,23.68
David,West,Ind,F,12312,@Bkn,7,15.86,3,6,1,0.43,2.71,57.700,80.800,25.29
Jonas,Valanciunas,Tor,C,12253,@SA,6,12.33,0.83,8.83,0.5,1,2,52.600,87.500,23.21
James,Johnson,Mem,F,12250,Uta,3,6,1.67,3.33,1,0,1,62.500,100,13.17
Gerald,Henderson,Cha,G,12219,Mil,8,15.5,2.75,4.75,0.62,0.75,1,43.900,78.400,23.06
Tyreke,Evans,NO,F,12145,@Sac,4,13,5,6.5,1.25,0.25,2.5,38.500,88.00,25.75
Tony,Allen,Mem,G,12026,Uta,5,12.8,3,7.6,1.6,0.4,1.6,48.200,71.400,25.90
Trey,Burke,Uta,G,11938,@Mem,9,14.44,6.11,4.11,0.56,0.11,1.44,38.800,95.500,24.47
Jose,Calderon,Dal,G,11793,@Hou,7,15.14,4.71,2.43,0.86,0.14,0.86,60.0,66.700,24.32
Shawn,Marion,Dal,F,11762,@Hou,7,10.29,0.86,7,1.29,0.43,1.14,45.100,83.300,19.75
Glen,Davis,Orl,F,11747,NY,8,13,1.88,7.88,1,1,1.5,45.400,71.400,24.47
Brandan,Wright,Dal,C,11725,@Hou,4,13.75,0.5,5,0,2.25,0.5,71.000,64.700,22.88
Xavier,Henry,LAL,F,11634,@Pho,8,13.12,2,3,1.75,0.25,1.5,39.300,76.100,18.50
Victor,Oladipo,Orl,G,11618,NY,8,11.5,2.5,3.75,1.62,0.75,2.5,36.200,69.200,17.94
Andre,Iguodala,GS,F,11597,@Den,3,3.67,1.67,2.33,1.33,0,2.67,35.700,50.0,7.42
Wilson,Chandler,Den,F,11515,GS,7,15.71,2,5.57,0.71,0.86,0.86,47.800,61.500,24.18
Dion,Waiters,Cle,G,11427,Det,5,14.2,2.4,3.4,0.4,0.2,2,42.200,70.600,17.05
Jeremy,Lin,Hou,G,11230,Dal,2,6.5,2,1,0.5,0,2,37.500,75.00,8.00
Jordan,Hill,LAL,F,11194,@Pho,8,10.75,0.62,6.38,0,0.38,0.62,73.300,80.0,18.72
Josh,McRoberts,Cha,F,11141,Mil,8,7.38,4.75,5.38,0.75,0.75,1.38,52.100,80.0,21.34
Anderson,Varejao,Cle,C,11086,Det,7,6.71,2,10.57,0.43,1,1,45.200,75.00,22.93
Terrence,Jones,Hou,F,10999,Dal,7,8.29,1.57,5.71,0.86,1,0.86,41.800,41.200,17.64
Mario,Chalmers,Mia,G,10845,Atl,7,9.86,4.29,2.14,2.57,0.57,2.57,50.0,77.800,20.75
Kenneth,Faried,Den,F,10641,GS,7,8,0.29,6.14,0.57,1,0.71,51.000,46.200,16.32
Manu,Ginobili,SA,G,10620,Tor,8,14.12,5.12,3.62,0.75,0.12,2.5,54.700,90.0,23.34
Alec,Burks,Uta,G,10602,@Mem,9,15.56,2.78,3.33,0.67,0.33,1.89,51.400,75.800,20.72
Markieff,Morris,Pho,F,10552,LAL,6,12.83,1.5,5.83,1.33,1,2.17,46.300,73.500,21.71
Tobias,Harris,Orl,F,10550,NY,5,11.6,1.4,6,0.4,0,0.8,39.600,77.300,17.80
J.R.,Smith,NY,G,10460,@Orl,8,10.12,4.25,3.12,1.38,0,1.5,32.200,80.0,17.84
Jon,Leuer,Mem,F,10419,Uta,8,13.88,0.88,6.75,0.88,0.38,1.25,52.900,84.600,22.25
Danny,Granger,Ind,F,10380,@Bkn,1,5,2,2,1,1,5,14.300,100,6.50
Andrei,Kirilenko,Bkn,F,10270,Ind,0,0,0,0,0,0,0,0,0,0.00
Al-Farouq,Aminu,NO,F,10210,@Sac,6,8.5,1.33,7.5,1,1.33,0.83,55.300,69.200,21.96
Andrea,Bargnani,NY,C,10206,@Orl,8,11.75,1.25,5,0.62,0.75,1.38,38.100,73.300,16.94
Kyle,Korver,Atl,G,10140,@Mia,6,13.83,2.17,3.67,1,0,0.83,47.600,33.300,19.92
Tristan,Thompson,Cle,F,9977,Det,7,12.71,1.29,9.29,0.43,0.14,1.14,46.800,55.600,22.39
Klay,Thompson,GS,G,9927,@Den,8,17.88,3.62,2.5,0.88,0.5,2.75,40.600,84.200,21.31
Channing,Frye,Pho,F,9919,LAL,6,14.17,0.67,5.5,0.67,0.5,1.83,49.200,80.0,19.79
Nick,Young,LAL,G,9895,@Pho,8,18.5,1.88,3.12,0.25,0.5,1.88,43.500,80.500,20.53
Jason,Smith,NO,C,9855,@Sac,5,10.2,1,7,0.4,1.4,1.2,48.900,70.0,20.25
Eric,Gordon,NO,G,9844,@Sac,6,13.5,3.83,2.17,0.5,0.17,1.33,47.000,84.600,18.88
Vince,Carter,Dal,F,9662,@Hou,7,9.57,4.14,3.29,1.14,0.71,2.71,41.000,78.600,18.11
Jarrett,Jack,Cle,G,9629,Det,7,12.43,4.14,4.29,0.43,0,1.14,41.300,89.500,20.43
Caron,Butler,Mil,F,9558,@Cha,1,22,4,11,0,1,4,38.100,66.700,32.25
Khris,Middleton,Mil,F,9435,@Cha,8,12.5,1.75,4.75,0.5,0.38,0.88,42.200,86.700,18.56
Giannis,Antetokounmpo,Mil,G,9380,@Cha,8,8.5,1.5,5.25,0.62,0.75,1.25,46.200,79.500,17.00
DeMarre,Carroll,Atl,F,9373,@Mia,6,8.33,2,4.67,1.67,0.33,1,43.500,85.700,17.92
George,Hill,Ind,G,9276,@Bkn,7,8.57,2.71,4,1,0.57,0.86,44.900,75.00,17.86
Gerald,Green,Pho,F,9222,LAL,6,11.5,1.67,3.17,0.33,1.17,1.67,43.800,80.0,16.79
Marvin,Williams,Uta,F,9153,@Mem,7,7.57,1.86,5.14,1.71,0.86,0.86,37.500,0,18.57
Mirza,Teletovic,Bkn,F,9068,Ind,6,8.83,0.67,3.17,0.33,0.5,0.17,44.200,25.00,13.04
Patrick,Beverley,Hou,G,9051,Dal,7,10.43,2.14,3.71,1,0.29,0.71,47.300,78.900,17.79
Enes,Kanter,Uta,C,8998,@Mem,9,8.78,0.78,5,0.67,1.22,1.67,43.400,70.0,15.53
Ramon,Sessions,Cha,G,8946,Mil,8,10.88,3.12,3,1,0,1.5,39.000,85.700,16.62
Chris,Kaman,LAL,C,8873,@Pho,3,8.33,0.67,7.33,0,2,1,40.700,60.0,18.50
Jordan,Farmar,LAL,G,8815,@Pho,0,0,0,0,0,0,0,0,0,0.00
Samuel,Dalembert,Dal,C,8805,@Hou,6,2.17,0.5,3.83,0.67,0.67,0.5,26.700,71.400,8.79
Jerryd,Bayless,Mem,G,8758,Uta,8,9.5,2.38,1.88,1.25,0.38,0.75,36.400,84.200,14.66
Lou,Williams,Atl,G,8639,@Mia,6,12,3.17,1.17,1.67,0.17,1.83,45.500,85.700,17.46
Marco,Belinelli,SA,G,8628,Tor,9,12.67,1.33,2.67,0.67,0,1.44,51.200,88.900,15.56
Boris,Diaw,SA,F,8569,Tor,9,8.11,3.22,3.22,0.56,0.33,1.33,49.300,71.400,15.36
Andrew,Bynum,Cle,C,8565,Det,7,9.57,1.29,6.14,0.57,0.57,1.14,46.200,70.0,17.61
Shaun,Livingston,Bkn,G,8559,Ind,7,3.71,3.14,2.14,0.86,0.29,1.14,55.600,100,11.68
Harrison,Barnes,GS,F,8489,@Den,8,10.5,1.5,5.38,0.88,0.12,1.5,41.200,66.700,16.72
Beno,Udrih,NY,G,8471,@Orl,7,8.86,2.86,1.86,1.29,0.14,1.43,51.100,90.0,15.25
Steve,Nash,LAL,G,8390,@Pho,0,0,0,0,0,0,0,0,0,0.00
Tim,Hardaway Jr.,NY,G,8348,@Orl,8,9.38,1.25,1.75,1,0.38,0.88,50.800,75.00,13.38
Wesley,Johnson,LAL,F,8300,@Pho,8,6.25,2.38,3.62,1.12,0.88,1,33.900,100,14.78
Michael,Beasley,Mia,F,8228,Atl,0,0,0,0,0,0,0,0,0,0.00
P.J.,Tucker,Pho,F,8151,LAL,6,7.17,1.83,6.33,1.17,0.5,1,27.500,71.400,16.75
Patrick,Mills,SA,G,8149,Tor,9,9.67,1.67,1.78,1.22,0.11,0.67,45.100,75.00,14.06
Aaron,Brooks,Hou,G,8121,Dal,5,5.6,3,1.8,0.6,0,1.8,28.600,71.400,9.05
Ray,Allen,Mia,G,8121,Atl,7,10.57,2.57,2.71,1.14,0.14,1.86,49.100,100,16.61
Derrick,Williams,Sac,F,8103,NO,9,11.33,1.11,3.67,1.33,0.22,0.78,49.300,68.600,17.31
Ed,Davis,Mem,F,8078,Uta,5,8.6,0,2.8,0.4,0.8,1.4,60.600,60.0,11.60
Greivis,Vasquez,Tor,G,8065,@SA,5,9.2,4,2.2,0.4,0,1.6,40.900,85.700,14.45
Terrence,Ross,Tor,G,7868,@SA,6,13,1,4,1,0.5,2.17,42.600,75.00,16.92
Nate,Robinson,Den,G,7837,GS,7,12.29,2.86,2.29,1.14,0.29,1.57,41.400,95.200,17.71
Kevin,Garnett,Bkn,F,7823,Ind,6,6.5,2,6.5,0.67,0.5,0.83,40.500,62.500,16.79
